gene,protein,r1,r2,p1,p2,Class.pr
ACS1,ENO2,0.3627913204081275,-0.16686379,0.7836980821187881,0.999751,No effect
ACS1,FAS1,-0.20240907793486834,-0.041087558,0.8786250204748896,0.999751,No effect
ACS1,FAS2,0.24667577839896854,-0.080432613,0.9885979994596145,0.999751,No effect
ACS1,HTB2,-0.2955300865580142,-0.0071445752,0.6512990393117702,0.999751,No effect
ACS1,RNR2,0.32287159963408,-0.024346338,0.8448480319909047,0.999751,No effect
ACS1,SSA1,0.5249636529168301,0.084581365,0.5500719398342153,0.999751,No effect
ACS1,TDH1,-0.5851846785789383,0.078992317,0.6745202801676417,0.999751,No effect
ACS1,TDH2,0.4522056557666844,-0.15546972,0.7383647858185707,0.999751,No effect
ACS1,TDH3,0.2801306974952379,-0.024805659,0.7878856342048491,0.999751,No effect
ACS1,YHB1,-0.48479968674747703,-0.048206334000000003,0.44653114237442854,0.999751,No effect
FLC2,ENO2,0.43139011085823303,0.06790025,0.5246183553691258,0.999211,No effect
FLC2,FAS1,0.35329776154151155,-3.4773141e-4,0.7981444234265919,0.999211,No effect
FLC2,FAS2,0.3378996742227338,-0.057881152,0.9724482242231866,0.999211,No effect
FLC2,HTB2,0.4422240814679861,-0.12391964,0.3591906229356296,0.969566,No effect
FLC2,RNR2,-0.20631171824518993,-0.06877535,0.8758649636803751,0.999211,No effect
FLC2,SSA1,-0.34750118881888686,-0.034251910000000003,0.8416861982066953,0.999211,No effect
FLC2,TDH1,0.28489630550945255,-0.13649442,0.7911683533824428,0.999211,No effect
FLC2,TDH2,0.45608880743365354,-0.31450652,0.5921800936542142,0.969566,No effect
FLC2,TDH3,0.3923613458996667,-0.16508819,0.7878856342048491,0.999211,No effect
FLC2,YHB1,0.26417499974866016,0.11099124,0.7647234316283723,0.999211,No effect
OAF1,ENO2,0.2666354421582857,0.068175498,0.867317866017112,0.999461,No effect
OAF1,FAS1,0.5019511101739881,0.13606011,0.34006026641636106,0.999461,No effect
OAF1,FAS2,-0.24297043159780138,0.094763047,0.9863048109504592,0.999461,No effect
OAF1,HTB2,-0.46273327877890896,-0.022772839,0.6813801064224932,0.999461,No effect
OAF1,RNR2,-0.3937235530168206,-0.045428452,0.8361223451303171,0.999461,No effect
OAF1,SSA1,0.31109110706225995,-0.1478589,0.884154959438736,0.999461,No effect
OAF1,TDH1,0.4407645482571199,-0.12802549,0.7482630084688913,0.999461,No effect
OAF1,TDH2,0.3708201494776236,0.18865412,0.8494603581988337,0.999461,No effect
OAF1,TDH3,-0.09051858785650374,0.17006606,0.9010919300405122,0.999461,No effect
OAF1,YHB1,0.28266046575483633,0.058399626,0.7533611850525578,0.999461,No effect
CYC3,ENO2,0.22376929041318017,-0.0016340558,0.8509294418391938,0.998126,No effect
CYC3,FAS1,0.31051798229515143,-0.055583799,0.8786250204748896,0.881519,No effect
CYC3,FAS2,-0.2793076749066132,-0.085069683,0.9835550970677007,0.74742,No effect
CYC3,HTB2,0.4908949320438409,0.093749458,0.4553224943988138,0.705989,No effect
CYC3,RNR2,-0.371440607156513,-0.0276779,0.8279620713283152,0.950469,No effect
CYC3,SSA1,0.3280955946240893,-0.1824455,0.8956108714166559,0.761392,No effect
CYC3,TDH1,-0.2799027691324372,0.09366834,0.8230924887242993,0.91538,No effect
CYC3,TDH2,-0.3006352021982943,0.24488706,0.8946297196657471,0.699841,No effect
CYC3,TDH3,0.17624299581084218,-0.02010197,0.9010919300405122,0.996939,No effect
CYC3,YHB1,0.17249233225295393,0.097934355,0.8920196587082345,0.892589,No effect
LTE1,ENO2,0.08195563999572324,0.024575001,0.9313496232087872,0.999893,No effect
LTE1,FAS1,-0.4770045209253698,0.016567633,0.89671937872651,0.999893,No effect
LTE1,FAS2,-0.6939052191030332,-0.062411538,0.8702742691479743,0.999893,No effect
LTE1,HTB2,0.5343594620281623,0.021081688,0.6202806982804878,0.999893,No effect
LTE1,RNR2,-0.36818285369551,0.039475334,0.8694724304851071,0.999893,No effect
LTE1,SSA1,0.4641843608357638,0.080780441,0.8815068768466359,0.999893,No effect
LTE1,TDH1,0.8203470031494068,-0.041363677,0.7590557201196636,0.999893,No effect
LTE1,TDH2,-0.2548031806599656,0.016952661,0.8975935760835313,0.999893,No effect
LTE1,TDH3,-0.14484862428993317,0.19660704,0.9010919300405122,0.999893,No effect
LTE1,YHB1,0.3550357327468399,0.027649495,0.8739496709609068,0.999893,No effect
CCR4,ENO2,0.1873089848503475,0.1125667,0.8778964849175108,0.634049,No effect
CCR4,FAS1,-0.2849557473225222,0.33437377,0.7901724352979091,1.54796e-5,No effect
CCR4,FAS2,0.30887020908363205,0.13003467,0.9423776918173347,0.0898615,No effect
